Prob	Ndata	GenFun	Scale	Polarity
21	    1	    1	    1	    1
6	    1	    1	    1	    2
1	    1	    1	    2	    1
3	    1	    1	    2	    2
24	    1	    2	    1	    1
10	    1	    2	    1	    2
7	    1	    2	    2	    1
20	    1	    2	    2	    2
13	    1	    3	    1	    1
8	    1	    3	    1	    2
23	    1	    3	    2	    1
2	    1	    3	    2   	2
12	    2	    1	    1	    1
18	    2	    1	    1	    2
19	    2	    1	    2	    1
4	    2	    1	    2	    2
22	    2	    2	    1	    1
9	    2	    2	    1	    2
5	    2	    2	    2	    1
14	    2	    2	    2	    2
15	    2	    3	    2	    1
11	    2	    3	    2	    2
17	    2	    3	    1	    1
16	    2	    3	    1	    2



